application_mode,daytime_evening_attendance_t,application_order,previous_qualification,previous_qualification_grade,admission_grade
1,1,1,1,163.0,143.1
1,1,1,1,125.0,114.5
39,1,1,1,120.0,140.0
42,0,1,1,150.0,113.7
1,1,1,1,135.0,131.5
1,1,1,1,148.0,143.5
1,1,1,1,138.0,126.8
17,1,1,1,119.0,115.2
39,1,2,1,130.0,100.0
1,1,2,1,135.0,121.4
44,1,1,39,120.0,120.0
17,1,2,1,126.0,129.9
1,1,1,1,149.0,151.1
39,1,1,1,110.0,120.0
39,1,1,1,133.1,130.0
16,1,2,1,127.0,119.0
42,1,1,6,120.0,122.0
16,1,6,1,136.0,129.7
43,1,2,1,110.0,112.5
1,1,1,1,136.0,136.0
1,1,3,1,145.0,133.1
1,1,2,1,159.0,151.3
39,1,1,1,147.0,133.3
43,1,1,1,150.0,130.8
7,0,1,3,140.0,140.0
42,1,1,39,150.0,150.0
44,0,1,39,130.0,130.0
17,1,1,1,120.0,125.3
43,1,1,39,130.0,124.0
1,1,1,1,112.0,113.8
17,1,1,1,128.0,124.4
17,1,1,1,114.0,107.7
43,1,2,1,118.0,110.0
7,1,1,3,130.0,130.0
1,1,2,1,145.0,138.8
1,1,2,1,121.0,126.3
1,1,3,1,114.0,114.5
1,1,4,1,127.0,116.5
17,1,2,1,145.0,128.6
17,1,5,1,130.0,130.0
1,1,1,1,150.0,134.6
1,1,1,1,145.0,146.8
1,1,1,1,128.0,135.7
39,0,1,1,140.0,120.0
39,0,1,1,130.0,138.0
39,1,1,1,140.0,135.5
15,1,1,1,120.0,120.0
39,0,1,1,147.0,111.7
39,0,1,9,133.1,100.0
44,1,1,39,160.0,160.0
39,0,1,1,133.1,114.8
39,0,1,19,140.0,131.0
39,0,1,1,133.1,97.0
17,1,6,1,131.0,131.7
39,1,1,19,133.1,120.0
39,0,1,1,120.0,110.0
39,1,1,1,130.0,133.0
7,1,1,3,140.0,140.0
39,0,1,1,133.1,100.0
39,1,1,1,140.0,129.3
1,1,1,1,133.1,137.0
1,1,5,1,125.0,122.2
1,1,1,1,115.0,108.0
7,1,1,3,110.0,110.0
39,1,1,1,140.0,127.7
39,1,1,1,100.0,121.3
1,1,3,1,145.0,140.1
39,1,1,19,133.1,114.8
44,0,1,39,150.0,150.0
1,1,1,1,145.0,131.7
39,0,1,19,133.1,110.0
1,1,3,1,110.0,105.5
1,1,1,1,128.0,127.3
39,1,1,19,133.1,130.0
7,1,1,3,130.0,130.0
16,1,1,1,137.0,122.7
17,1,2,1,123.0,113.9
1,1,1,1,156.0,151.1
17,1,2,1,133.1,125.8
43,1,1,1,100.0,128.2
39,1,1,1,140.0,135.1
39,0,1,1,130.0,120.2
39,0,1,1,133.1,132.8
44,1,1,39,140.0,140.0
18,1,5,1,137.0,129.3
42,1,1,1,120.0,108.2
17,1,4,1,125.0,125.4
17,1,1,1,130.0,140.2
1,1,3,1,115.0,116.1
1,1,1,1,150.0,137.8
1,1,3,1,134.0,128.4
39,1,1,1,120.0,106.0
43,1,1,1,141.0,130.2
1,1,1,1,133.0,126.0
1,1,2,1,149.0,141.0
1,1,1,1,121.0,113.0
44,1,1,39,120.0,120.0
39,0,1,1,148.0,130.9
39,1,1,12,133.1,120.0
39,0,1,1,135.0,134.1
39,1,1,1,150.0,120.0
43,1,1,1,130.0,114.8
42,1,1,1,133.1,123.0
39,1,2,19,133.1,118.0
43,1,1,1,110.0,100.0
39,0,1,1,170.0,151.1
17,1,3,1,120.0,116.9
39,1,1,19,133.1,106.0
1,1,1,1,139.0,127.1
39,0,1,19,133.1,155.5
18,1,1,1,133.1,101.0
42,1,1,6,120.0,128.2
39,0,1,1,100.0,113.0
1,1,1,1,134.0,122.8
39,0,1,1,130.0,145.6
1,1,1,1,128.0,116.5
1,1,1,1,154.0,142.0
7,1,1,4,150.0,150.0
17,1,1,1,134.0,133.3
1,1,1,1,127.0,115.8
17,1,2,1,133.1,100.0
17,1,1,1,130.0,128.6
1,1,1,1,135.0,137.1
1,1,1,1,143.0,149.0
44,1,2,39,150.0,147.0
7,1,1,3,150.0,150.0
39,0,1,1,130.0,103.5
1,1,3,1,113.0,107.8
44,1,1,39,130.0,130.0
17,1,1,1,115.0,109.4
1,1,3,1,146.0,143.6
17,1,3,1,132.0,124.3
1,1,5,1,116.0,119.5
1,1,1,1,163.0,175.6
17,1,2,1,122.0,116.1
17,1,2,1,136.0,126.6
17,1,1,1,142.0,130.8
17,1,6,1,139.0,133.5
53,1,1,42,140.0,136.9
1,1,1,1,165.0,142.3
17,1,3,1,122.0,114.3
1,1,2,1,135.0,122.9
17,1,1,1,128.0,117.2
17,1,1,1,139.0,152.0
1,1,2,1,125.0,122.2
18,1,2,1,102.0,101.7
17,1,1,1,116.0,119.9
17,1,1,1,138.0,123.7
51,1,1,1,135.0,121.8
17,1,4,1,110.0,106.1
17,1,3,1,132.0,124.3
1,1,2,1,126.0,124.3
44,1,1,39,117.4,117.4
43,1,2,1,120.0,112.7
17,1,1,1,116.0,123.7
18,1,2,1,111.0,105.8
17,1,3,1,128.0,124.2
1,1,1,1,123.0,122.3
1,1,5,1,131.0,123.7
17,1,2,1,135.0,129.8
1,1,4,1,136.0,123.8
1,1,2,1,132.0,126.4
1,1,1,1,120.0,115.1
1,1,1,1,144.0,138.4
17,1,1,1,129.0,118.2
17,1,1,1,136.0,121.7
1,1,3,1,125.0,118.0
17,1,1,1,125.0,119.8
1,1,1,1,154.0,164.9
42,1,1,1,100.0,100.0
1,1,1,1,124.0,121.6
17,1,4,1,126.0,120.4
18,1,6,1,124.0,117.8
43,1,1,1,150.0,110.0
1,1,6,1,133.0,128.8
1,1,5,1,126.0,116.6
7,0,1,40,120.0,120.0
1,1,3,1,175.0,157.5
1,1,6,1,141.0,136.3
1,1,1,1,133.0,121.5
1,1,1,1,143.0,133.9
1,1,1,1,141.0,136.8
17,1,2,1,134.0,133.5
17,1,3,1,138.0,130.0
44,1,1,39,140.0,140.0
1,1,2,1,142.0,132.7
1,1,1,1,118.0,117.8
1,1,2,1,131.0,126.1
1,1,1,1,130.0,120.0
39,1,1,12,133.1,100.0
1,1,1,1,130.0,116.8
53,1,1,42,130.0,128.3
1,1,1,1,133.1,117.0
39,0,1,1,130.0,131.5
1,1,1,1,149.0,134.8
1,1,1,1,163.0,146.6
7,0,1,40,130.0,130.0
1,1,6,1,145.0,127.5
1,1,1,1,130.0,123.0
43,1,1,1,128.0,100.0
1,1,2,1,111.0,114.2
1,1,1,1,140.0,123.5
44,1,1,39,140.0,144.3
1,1,1,1,145.0,142.2
1,1,1,1,151.0,161.9
1,1,1,1,132.0,135.9
1,1,2,1,116.0,110.1
2,1,1,1,120.0,122.5
17,1,1,1,158.0,138.1
43,1,1,1,116.0,117.3
1,1,2,1,112.0,106.8
1,1,1,1,126.0,120.1
1,1,2,1,120.0,116.5
51,1,1,1,117.0,120.0
1,1,1,1,153.0,139.7
1,1,2,1,124.0,123.7
17,1,2,1,127.0,116.5
17,1,1,1,126.0,122.2
1,1,1,1,133.1,146.0
17,1,2,1,114.0,108.8
43,1,1,1,133.0,133.0
17,1,1,1,130.0,123.8
17,1,3,1,127.0,120.0
17,1,3,1,143.0,126.9
18,1,4,1,130.0,121.3
17,1,3,1,136.0,129.0
1,1,1,1,125.0,114.9
17,1,1,3,110.0,106.5
1,1,1,1,130.0,133.9
1,1,1,1,135.0,124.9
1,1,2,1,133.0,128.5
1,1,1,6,122.0,126.2
17,1,1,1,122.0,121.7
1,1,2,1,121.0,120.0
43,1,1,1,123.0,113.2
1,1,1,1,128.0,120.3
1,1,4,1,139.0,127.8
1,1,2,1,124.0,123.3
1,1,3,1,135.0,126.3
51,0,1,42,110.0,128.2
17,1,4,1,138.0,134.9
44,1,1,39,140.0,140.0
1,1,5,1,126.0,115.5
1,1,2,1,113.0,106.7
39,0,1,1,120.0,140.0
1,1,1,1,145.0,136.6
18,1,1,1,124.0,119.3
1,1,1,1,160.0,152.0
1,1,1,1,138.0,144.3
39,1,2,1,130.0,159.0
17,1,1,1,127.0,129.5
39,1,1,1,170.0,140.0
1,1,3,1,111.0,105.4
42,1,1,1,100.0,136.0
44,1,1,39,160.0,160.0
1,1,1,1,152.0,139.1
1,1,2,1,144.0,126.9
39,1,1,3,133.8,184.0
1,1,1,1,125.0,125.0
1,1,1,1,150.0,138.5
17,1,5,1,143.0,133.5
1,1,3,1,145.0,141.5
42,1,1,1,120.0,130.0
1,1,1,1,138.0,131.0
1,1,1,1,145.0,145.0
17,1,1,1,122.0,114.3
44,1,1,39,110.0,108.3
1,1,3,1,136.0,125.2
1,1,1,1,145.0,131.7
17,1,4,1,141.0,126.3
1,1,1,1,149.0,147.6
1,1,6,1,130.0,125.1
17,1,6,1,121.0,123.8
1,1,1,1,128.0,130.8
1,1,1,1,152.0,154.1
16,1,2,1,132.0,122.6
1,0,2,1,107.0,103.5
1,1,1,1,131.0,132.8
51,0,1,1,141.0,100.0
18,1,2,1,120.0,115.8
1,1,1,1,148.0,133.8
1,1,1,1,130.0,118.5
17,1,1,1,145.0,150.3
17,1,3,1,112.0,107.8
1,1,1,1,138.0,127.5
1,1,3,1,135.0,120.5
1,1,1,1,118.0,117.3
17,1,1,1,123.0,120.6
16,1,4,1,126.0,118.7
1,1,2,1,150.0,130.8
1,1,1,1,121.0,112.6
39,0,1,19,133.1,117.2
7,1,1,40,130.0,130.0
17,1,3,1,139.0,131.8
39,0,1,1,160.0,97.0
39,1,1,1,110.0,130.0
39,0,1,40,140.0,148.0
39,1,2,3,130.0,103.4
43,1,2,1,132.0,127.1
17,1,2,1,139.0,124.0
1,1,1,1,135.0,121.4
1,1,1,1,117.0,118.1
17,1,4,1,137.0,121.3
42,1,1,1,144.0,119.5
39,0,1,1,130.0,115.2
18,1,1,1,140.0,130.2
17,1,4,1,130.0,130.0
16,1,2,1,130.0,126.9
1,1,2,1,152.0,168.5
39,1,1,1,133.1,130.0
18,1,1,1,140.0,122.8
39,1,1,1,133.1,110.0
16,1,1,1,140.0,127.1
1,1,3,1,133.1,108.5
53,1,1,42,140.0,138.2
1,1,2,1,133.1,96.0
1,1,1,1,135.0,124.5
7,1,1,3,120.0,120.0
17,1,1,1,140.0,132.3
17,1,1,1,128.0,120.7
1,1,1,1,141.0,132.6
7,1,2,3,140.0,140.0
1,1,6,1,139.0,124.5
1,1,1,1,142.0,142.0
7,1,1,40,130.0,130.0
39,1,1,1,130.0,144.0
17,1,1,1,125.0,128.5
7,1,1,3,140.0,140.0
42,1,1,1,120.0,113.9
1,1,1,1,147.0,137.2
7,1,1,40,140.0,140.0
1,1,1,1,161.0,152.3
39,0,1,19,133.1,112.5
39,1,2,1,150.0,101.0
1,1,6,1,113.0,112.3
39,1,1,1,140.0,114.0
7,1,1,3,130.0,130.0
43,1,2,1,120.0,121.5
39,1,1,19,133.1,120.0
7,0,1,3,130.0,130.0
39,1,1,1,120.0,125.7
43,1,1,1,140.0,128.0
17,1,1,1,123.0,113.2
39,1,1,19,133.1,120.0
1,1,1,1,130.0,117.8
1,1,4,1,126.0,121.3
1,1,1,1,176.0,169.7
17,1,4,1,124.0,117.7
44,0,1,39,120.0,121.8
1,1,2,1,140.0,128.3
18,1,2,1,143.0,132.2
1,1,2,1,136.0,134.3
1,1,1,1,132.0,123.4
39,0,1,19,133.1,121.7
39,0,1,19,100.0,130.0
1,1,3,1,137.0,126.5
17,1,1,1,153.0,159.7
1,1,1,1,160.0,151.3
17,1,1,1,145.0,138.0
1,1,5,1,137.0,126.5
53,1,1,42,140.0,140.0
1,1,1,1,120.0,112.3
1,1,1,1,122.0,127.3
7,1,1,3,130.0,130.0
17,1,2,1,133.1,115.0
17,1,6,1,150.0,131.5
39,0,1,1,133.1,125.7
1,1,6,1,141.0,126.8
18,1,1,1,146.0,132.4
44,1,1,39,150.0,150.0
1,1,1,1,133.1,95.0
43,0,1,1,120.0,128.2
39,1,1,1,150.0,130.0
39,1,1,19,133.1,100.0
42,1,1,39,140.0,159.9
43,0,1,1,140.0,100.0
39,1,1,1,133.1,116.5
1,1,1,1,128.0,120.0
1,1,3,1,117.0,117.0
53,1,1,42,140.0,140.0
1,1,2,1,124.0,118.1
1,1,1,1,158.0,153.5
43,1,1,1,137.0,127.9
17,1,3,1,123.0,118.8
1,1,1,1,126.0,126.7
43,1,1,1,170.0,170.0
39,1,1,1,133.1,110.0
17,1,1,1,115.0,115.0
1,1,3,1,132.0,119.0
1,1,4,1,132.0,121.8
1,1,1,1,143.0,133.4
1,1,3,1,137.0,131.4
42,1,1,1,130.0,135.0
1,1,2,1,121.0,122.8
39,1,1,1,130.0,140.0
18,1,2,1,135.0,125.3
1,1,6,1,137.0,126.3
1,1,1,1,100.0,100.0
17,1,2,1,127.0,121.3
53,0,1,1,140.0,135.0
39,1,1,1,140.0,120.0
17,1,1,1,121.0,113.7
43,1,1,1,131.0,129.7
1,1,1,1,151.0,132.1
51,1,1,1,130.0,120.3
7,0,1,40,120.0,120.0
17,1,2,1,136.0,123.1
17,1,5,1,125.0,119.4
39,1,1,1,133.1,140.0
39,0,1,1,133.1,116.5
17,1,1,1,120.0,113.0
1,1,3,1,143.0,133.9
1,1,3,1,133.1,115.5
17,1,5,1,121.0,116.5
1,1,1,1,168.0,171.2
1,1,1,1,124.0,119.1
17,1,2,1,127.0,121.1
1,1,2,1,129.0,132.9
1,1,1,1,137.0,132.8
1,1,1,1,120.0,126.7
1,1,1,1,110.0,105.8
17,1,2,1,120.0,117.2
1,1,1,1,143.0,140.0
44,1,1,39,120.0,120.0
17,1,5,1,124.0,119.5
39,1,1,1,168.0,153.9
39,0,1,19,133.1,130.0
39,1,2,1,150.0,107.0
39,1,1,1,140.0,132.8
1,0,1,1,145.0,127.5
18,1,1,1,118.0,123.3
17,1,1,1,123.0,122.0
1,1,5,1,120.0,114.8
44,1,1,39,140.0,140.0
51,1,1,1,126.0,111.0
1,1,2,1,137.0,133.2
1,1,3,1,130.0,123.0
53,1,1,42,150.0,150.0
17,1,3,1,147.0,132.3
18,1,1,1,140.0,126.0
1,1,3,1,132.0,119.3
53,1,1,42,130.0,133.8
1,1,1,1,130.0,126.5
1,1,1,1,151.0,138.4
1,1,4,1,144.0,129.0
1,1,1,1,127.0,118.3
17,1,2,1,131.0,129.8
17,1,2,1,123.0,113.6
1,1,5,1,130.0,128.3
43,1,1,1,130.0,130.0
17,1,2,1,131.0,121.9
1,1,5,3,135.0,129.4
1,1,2,1,123.0,115.3
1,1,5,1,145.0,125.5
17,1,6,1,118.0,117.8
17,1,3,1,125.0,118.7
1,1,2,1,152.0,139.0
1,1,1,1,101.0,98.9
17,1,1,1,137.0,137.7
1,1,4,1,123.0,113.6
1,1,1,1,120.0,113.4
17,1,3,1,131.0,128.5
1,1,1,1,141.0,142.8
1,1,1,1,144.0,137.7
1,1,1,1,107.0,103.5
1,1,1,1,133.0,123.2
17,1,2,1,126.0,126.0
39,1,1,1,133.1,121.7
17,1,1,1,147.0,142.8
43,1,1,1,120.0,120.0
18,1,1,1,130.0,119.3
44,1,1,1,120.0,121.0
1,1,5,1,138.0,139.4
17,1,1,1,124.0,113.9
1,1,1,1,133.0,124.6
17,1,1,1,122.0,123.8
1,1,3,1,138.0,126.3
17,1,4,1,134.0,120.4
1,1,3,1,128.0,120.5
53,1,1,42,140.0,144.9
39,1,1,19,133.1,139.9
1,1,1,1,142.0,133.3
1,1,3,1,141.0,126.0
1,1,2,1,145.0,133.5
17,1,2,1,145.0,127.9
1,1,1,1,108.0,105.9
1,1,1,1,132.0,124.3
39,1,1,1,140.0,102.5
39,1,1,19,133.1,97.0
17,1,1,1,128.0,134.7
42,1,1,1,120.0,113.8
1,1,4,1,120.0,116.9
1,1,4,1,139.0,124.0
39,1,1,1,139.3,117.5
44,1,1,39,150.0,154.8
1,1,1,1,138.0,141.0
39,1,1,9,133.1,120.0
51,1,1,1,136.0,133.6
1,1,6,1,134.0,122.0
1,1,1,1,140.0,120.0
53,1,1,42,110.0,114.2
39,0,1,38,133.1,95.5
1,1,1,1,129.0,120.0
1,1,1,1,116.0,111.1
1,1,1,1,130.0,128.6
7,1,1,3,130.0,130.0
1,1,1,1,116.0,111.1
17,1,1,1,136.0,122.7
1,1,1,1,147.0,134.4
1,1,5,1,117.0,131.0
51,1,1,1,141.0,125.0
18,1,1,1,133.1,106.0
39,1,1,1,133.1,128.0
7,1,1,3,120.0,120.0
1,1,1,1,148.0,134.8
39,1,1,1,130.0,112.0
1,1,1,1,120.0,116.1
43,1,1,1,120.0,120.0
1,1,3,1,133.0,119.7
17,1,6,1,129.0,117.1
1,1,2,1,118.0,112.4
1,1,2,1,140.0,131.0
1,1,2,1,127.0,130.9
1,1,1,1,131.0,134.9
17,1,1,1,132.0,127.1
17,1,5,1,113.0,110.2
17,1,1,1,115.0,108.7
1,1,1,1,133.1,138.0
44,1,1,39,150.0,147.7
39,1,1,19,133.1,123.0
17,1,1,1,141.0,142.8
1,1,2,1,140.0,138.3
1,1,2,1,136.0,125.2
1,1,1,1,140.0,141.8
17,1,5,1,143.0,130.6
44,1,1,39,130.0,130.0
15,1,1,1,133.1,100.0
18,1,2,1,129.0,119.0
1,1,2,1,132.0,124.3
17,1,1,1,118.0,122.2
15,1,1,1,150.0,150.0
39,0,1,19,133.1,135.5
16,1,2,1,122.0,127.3
43,1,1,1,127.0,127.0
1,1,2,1,122.0,126.9
18,1,3,1,131.0,127.5
1,1,2,1,130.0,122.0
17,1,5,1,130.0,115.8
17,1,1,1,130.0,121.6
17,1,4,1,122.0,116.4
39,1,1,1,114.0,120.0
17,1,4,1,143.0,127.3
1,1,3,1,127.0,123.5
17,1,3,1,141.0,125.6
1,1,1,1,129.0,118.5
1,1,2,1,140.0,129.5
1,1,1,1,137.0,134.6
44,1,1,1,140.0,140.0
1,1,1,1,143.0,133.2
17,1,1,1,138.0,133.5
17,1,1,1,120.0,117.9
1,1,3,1,144.0,128.0
1,1,5,1,123.0,113.2
1,1,3,1,129.0,122.0
16,1,3,1,152.0,156.9
1,1,2,1,130.0,125.1
15,1,1,1,133.1,100.0
15,1,1,1,160.0,160.0
39,0,1,1,140.0,101.0
18,1,1,1,133.0,121.5
1,1,1,1,138.0,126.8
1,1,5,1,142.0,132.9
1,1,1,1,115.0,134.3
17,1,6,1,125.0,120.5
17,1,1,1,170.0,144.1
43,0,1,1,140.0,100.0
1,1,2,1,110.0,114.8
1,1,1,1,114.0,111.9
17,1,3,1,138.0,125.4
44,1,1,39,140.0,140.0
44,1,1,39,140.0,140.0
17,1,1,1,132.0,127.8
1,1,1,1,148.0,131.6
1,1,1,1,132.0,119.4
18,1,2,1,126.0,129.9
1,1,1,1,121.0,114.0
1,1,2,1,120.0,113.4
1,1,1,1,123.0,117.8
1,1,6,1,122.0,114.3
1,1,1,1,136.0,129.7
18,1,1,1,119.0,112.0
39,1,1,1,120.0,140.0
44,1,1,39,150.0,150.0
1,1,3,1,121.0,122.4
51,1,1,1,140.0,150.0
17,1,2,1,135.0,135.0
43,0,4,1,116.0,116.2
17,1,2,1,120.0,120.4
17,1,5,1,126.0,122.9
1,1,1,1,170.0,155.0
1,1,3,1,123.0,123.4
17,1,1,1,120.0,124.2
44,1,1,39,130.0,130.0
17,1,1,1,130.0,126.2
17,1,1,1,117.0,120.5
17,1,1,1,131.0,123.7
17,1,1,1,130.0,122.5
39,0,1,1,133.0,139.2
51,1,1,1,128.0,131.2
39,1,1,1,133.1,120.0
1,1,1,1,123.0,116.7
53,1,1,42,150.0,150.0
39,1,1,19,133.1,117.5
1,1,2,1,140.0,137.6
17,1,1,1,126.0,124.3
39,1,1,19,133.1,116.0
18,1,2,1,121.0,121.4
53,1,1,42,140.0,142.8
17,1,1,1,133.1,96.0
43,0,1,1,131.0,125.0
17,1,6,1,124.0,126.1
39,1,1,1,120.0,155.8
1,1,1,1,133.1,116.0
44,1,1,39,110.0,110.0
39,1,1,19,133.1,97.2
39,1,1,19,133.1,100.0
7,1,1,40,140.0,140.0
43,1,1,1,130.0,128.0
17,1,2,1,110.0,115.3
39,1,1,1,140.0,150.0
44,1,1,39,160.0,160.0
1,1,1,1,138.0,133.1
1,1,1,1,126.0,119.0
39,0,1,1,120.0,156.0
39,1,1,1,130.0,163.7
39,1,1,40,130.0,130.0
17,1,5,1,122.0,123.1
39,0,1,1,160.0,160.0
1,1,1,1,134.0,136.1
43,1,1,1,134.0,132.7
43,1,1,1,140.0,128.2
17,1,1,1,127.0,126.7
39,0,1,1,133.1,150.0
17,1,1,1,143.0,156.3
10,1,1,1,115.0,116.1
17,1,1,1,131.0,123.8
1,1,1,1,146.0,153.0
7,1,1,5,140.0,140.0
17,1,1,1,135.0,131.9
1,1,1,1,133.0,141.4
39,1,1,12,133.1,140.0
39,0,1,1,120.0,115.0
39,0,1,1,133.1,168.0
17,1,1,1,130.0,101.3
1,1,1,1,125.0,122.6
1,1,1,1,134.0,141.7
1,1,1,1,151.0,132.3
17,1,1,1,112.0,111.7
39,1,1,1,120.0,98.7
15,1,1,1,140.0,140.0
10,1,1,1,140.0,140.0
39,1,1,1,133.1,100.7
17,1,3,1,143.0,133.8
15,1,1,1,133.1,100.0
7,1,1,4,180.0,180.0
1,1,1,1,136.0,130.8
44,0,1,39,140.0,140.0
39,1,1,1,130.0,106.2
1,1,1,1,141.0,125.6
18,1,5,1,121.0,117.5
39,1,1,3,120.0,122.5
17,1,1,1,129.0,132.9
39,1,1,12,133.1,103.0
17,0,5,1,100.0,107.0
7,1,1,2,133.1,100.0
39,0,1,1,133.1,100.0
17,1,1,1,139.0,131.3
18,1,1,1,125.0,122.2
39,0,1,9,133.1,118.4
7,1,1,2,100.0,100.0
39,1,1,1,110.0,110.0
43,0,1,1,133.1,100.0
43,1,1,1,123.0,106.2
7,1,1,40,110.0,110.0
1,1,2,1,130.0,122.3
39,0,1,1,133.1,112.5
1,1,2,1,97.0,98.1
1,1,1,1,130.0,140.2
17,1,1,1,139.0,143.6
16,1,1,1,150.0,134.6
1,1,3,1,141.0,126.8
15,1,1,1,133.1,100.0
17,1,1,1,137.0,130.0
1,1,4,1,116.0,113.6
44,1,1,39,140.0,140.0
17,1,4,1,106.0,106.0
17,1,6,1,135.0,126.6
17,1,5,1,144.0,130.7
1,1,2,1,108.0,105.9
15,1,1,1,137.0,137.0
43,1,1,1,133.1,100.0
1,0,1,1,121.0,114.4
39,1,1,19,133.1,120.0
39,0,1,12,130.0,119.0
39,1,1,1,133.1,110.0
7,0,1,2,120.0,120.0
1,1,4,1,131.0,119.8
39,1,2,19,133.1,135.6
39,0,1,1,100.0,120.7
1,1,3,1,131.0,136.3
16,1,1,1,158.0,164.3
1,1,1,1,146.0,149.2
16,1,2,1,133.0,122.5
43,0,1,1,120.0,100.0
17,1,1,1,119.0,125.0
1,1,1,1,132.0,131.0
1,1,1,1,130.0,122.0
1,1,1,1,132.0,131.3
17,1,2,1,133.1,117.0
17,1,1,1,119.0,118.0
17,0,2,1,134.0,126.0
44,1,1,39,120.0,120.0
17,1,4,1,172.0,155.6
1,1,4,1,120.0,122.8
1,1,3,1,129.0,127.3
17,1,1,1,118.0,118.4
1,1,1,1,127.0,128.1
1,1,2,1,133.1,99.0
1,1,1,1,164.0,161.2
17,1,1,1,136.0,140.9
17,1,1,1,117.0,111.1
1,1,4,1,131.0,149.9
17,1,6,1,110.0,111.3
1,1,2,1,125.0,121.5
44,1,1,39,120.0,120.0
39,1,1,19,133.1,120.0
53,1,1,42,130.0,130.0
1,1,5,1,101.0,98.9
1,1,6,1,141.0,136.3
17,1,1,1,128.0,125.2
1,1,2,1,145.0,130.0
1,1,1,1,160.0,141.5
16,1,5,1,134.0,123.9
17,1,2,1,125.0,114.5
39,0,1,15,133.1,100.0
39,0,1,1,120.0,110.5
39,1,1,19,133.1,101.0
1,1,1,1,121.0,121.0
39,0,1,1,120.0,95.0
1,1,2,1,130.0,126.9
42,1,1,1,130.0,116.3
18,1,1,1,128.0,120.0
1,1,1,1,126.0,123.6
39,1,1,1,120.0,150.0
39,1,1,1,100.0,120.0
42,1,1,1,120.0,111.3
39,0,1,1,110.0,150.0
1,1,1,1,127.0,123.2
44,0,1,39,130.0,130.0
1,1,1,1,141.0,137.9
39,1,1,1,120.0,100.0
39,1,1,19,133.1,120.0
39,1,1,19,133.1,131.0
39,0,1,12,133.1,133.8
43,0,1,1,130.0,100.0
39,0,1,1,110.0,150.0
17,1,1,1,125.0,126.4
39,1,1,1,130.0,154.0
1,1,1,1,121.0,114.9
39,1,1,9,133.1,110.0
1,1,1,1,147.0,149.8
1,1,4,1,128.0,117.9
1,1,2,1,164.0,165.8
17,1,5,1,137.0,127.6
17,0,2,1,122.0,123.8
17,1,4,1,124.0,126.1
1,1,2,1,120.0,119.7
1,1,2,1,117.0,121.6
43,1,1,1,140.0,100.0
1,1,5,1,130.0,127.6
1,1,1,1,138.0,132.5
1,1,1,1,141.0,124.3
1,1,3,1,142.0,131.0
7,0,1,40,120.0,120.0
1,1,3,1,122.0,113.3
1,1,2,1,131.0,121.9
1,1,2,1,120.0,118.3
1,1,1,1,131.0,118.8
1,1,2,1,130.0,129.0
43,1,3,1,120.0,143.3
1,1,1,1,136.0,152.5
53,1,1,42,160.0,155.7
1,1,2,1,157.0,153.9
1,1,1,1,150.0,137.8
17,1,1,1,148.0,143.3
1,1,1,1,120.0,123.2
1,1,1,1,150.0,138.1
17,1,1,1,158.0,140.5
1,1,4,1,145.0,130.0
44,1,1,39,100.0,104.8
17,0,1,1,136.0,132.5
39,0,1,1,133.1,127.7
1,1,1,1,148.0,136.5
44,1,1,39,130.0,130.0
39,1,1,40,130.0,190.0
17,1,4,1,136.0,128.5
17,1,3,1,122.0,126.6
17,1,1,1,140.0,131.6
39,0,1,1,110.0,119.0
17,1,1,1,130.0,127.6
39,1,1,1,133.1,100.0
1,1,1,1,128.0,124.5
1,1,1,1,117.0,109.3
1,1,2,1,124.0,117.7
1,1,1,1,124.0,124.7
17,1,3,1,128.0,124.5
1,1,5,1,125.0,140.8
17,1,3,1,121.0,111.9
7,1,1,3,140.0,140.0
1,1,1,1,124.0,121.2
43,1,4,1,136.0,123.8
7,1,1,1,140.8,134.0
18,1,3,1,142.0,130.8
1,1,1,1,133.0,130.2
1,1,1,1,131.0,123.3
39,1,1,3,130.0,147.6
17,1,1,1,120.0,113.4
17,1,1,1,141.0,133.7
39,1,1,1,130.0,128.2
1,1,1,1,168.0,161.0
7,1,1,3,130.0,130.0
1,1,1,1,156.0,156.3
1,1,1,1,137.0,129.3
17,1,6,1,131.0,129.3
1,1,1,1,130.0,136.3
39,1,1,1,133.1,140.0
1,1,1,1,131.0,135.9
1,1,5,1,160.0,139.7
1,1,4,1,117.0,117.0
39,1,1,19,133.1,105.0
1,1,3,1,130.0,130.5
44,0,1,39,130.0,130.0
1,1,3,1,137.0,131.5
42,1,1,1,133.1,100.0
44,1,1,39,140.0,140.0
17,1,4,1,140.0,130.2
17,1,2,1,135.0,133.5
1,1,4,1,140.0,133.2
39,1,1,1,100.0,130.0
39,1,1,1,160.0,129.0
39,0,1,19,133.1,100.0
17,1,1,1,128.0,116.5
1,1,2,1,121.0,124.2
51,1,1,1,127.0,138.8
1,1,1,1,132.0,126.4
1,1,1,1,147.0,151.9
39,0,1,1,110.0,120.0
43,1,1,1,142.0,131.9
44,1,1,39,130.0,130.0
17,1,1,1,131.0,131.7
43,0,1,1,110.0,132.5
1,1,3,1,128.0,116.5
1,1,1,1,136.0,133.9
39,1,1,1,120.0,145.4
39,0,1,1,140.0,172.0
1,1,1,1,118.0,111.0
44,1,1,39,120.0,120.0
1,1,6,1,151.0,129.8
1,1,5,1,130.0,118.1
39,1,1,1,140.0,130.0
39,1,1,19,133.1,126.3
18,1,1,1,146.0,137.8
